age,impressions,clicks,gender,date,age_group
36,478,71,female,2026-01-08,35-44
51,956,24,female,2026-01-09,45-54
32,373,36,female,2026-01-10,25-34
67,412,24,female,2026-01-11,65+
25,260,44,female,2026-01-12,25-34
61,341,44,female,2026-01-13,55-64
64,437,66,female,2026-01-14,55-64
66,684,49,female,2026-01-15,65+
51,173,59,male,2026-01-16,45-54
35,840,99,male,2026-01-17,35-44
47,515,67,male,2026-01-18,45-54
30,450,81,male,2026-01-19,25-34
64,429,21,female,2026-01-20,55-64
50,464,85,male,2026-01-21,45-54
52,276,11,male,2026-01-22,45-54
69,839,73,male,2026-01-23,65+
41,516,50,male,2026-01-24,35-44
43,370,89,female,2026-01-25,35-44
64,673,35,female,2026-01-26,55-64
68,443,81,male,2026-01-27,65+
61,516,58,female,2026-01-28,55-64
59,412,38,female,2026-01-29,55-64
64,512,95,male,2026-01-30,55-64
18,271,23,female,2026-01-31,18-24
30,197,11,male,2026-02-01,25-34
27,278,7,female,2026-02-02,25-34
36,914,31,male,2026-02-03,35-44
22,208,30,female,2026-02-04,18-24
25,940,18,male,2026-02-05,25-34
21,521,68,male,2026-02-06,18-24
66,732,96,male,2026-02-07,65+
30,102,67,female,2026-02-08,25-34
55,885,62,male,2026-02-09,55-64
63,243,42,female,2026-02-10,55-64
66,807,50,female,2026-02-11,65+
63,441,26,female,2026-02-12,55-64
36,596,74,female,2026-02-13,35-44
69,854,54,female,2026-02-14,65+
67,193,30,female,2026-02-15,65+
25,969,17,male,2026-02-16,25-34
44,220,57,male,2026-02-17,35-44
67,762,75,male,2026-02-18,65+
64,310,52,female,2026-02-19,55-64
47,619,78,female,2026-02-20,45-54
21,923,15,female,2026-02-21,18-24
28,277,77,male,2026-02-22,25-34
38,126,95,female,2026-02-23,35-44
60,860,21,female,2026-02-24,55-64
19,744,99,male,2026-02-25,18-24
38,209,43,female,2026-02-26,35-44
34,189,53,female,2026-02-27,25-34
60,126,65,male,2026-02-28,55-64
68,800,11,female,2026-03-01,65+
46,343,75,male,2026-03-02,45-54
44,723,6,female,2026-03-03,35-44
41,695,68,female,2026-03-04,35-44
66,690,70,male,2026-03-05,65+
20,758,26,female,2026-03-06,18-24
56,221,51,male,2026-03-07,55-64
27,708,5,female,2026-03-08,25-34
20,447,91,female,2026-03-09,18-24
62,904,41,male,2026-03-10,55-64
59,458,31,female,2026-03-11,55-64
43,504,25,female,2026-03-12,35-44
54,483,89,male,2026-03-13,45-54
44,592,39,male,2026-03-14,35-44
22,487,66,female,2026-03-15,18-24
59,758,35,female,2026-03-16,55-64
28,305,32,female,2026-03-17,25-34
30,151,78,male,2026-03-18,25-34
58,661,77,female,2026-03-19,55-64
51,643,57,female,2026-03-20,45-54
55,581,89,male,2026-03-21,55-64
57,758,28,male,2026-03-22,55-64
50,368,67,male,2026-03-23,45-54
51,723,53,male,2026-03-24,45-54
44,331,64,male,2026-03-25,35-44
53,966,48,female,2026-03-26,45-54
43,939,47,female,2026-03-27,35-44
68,706,18,female,2026-03-28,65+
42,913,14,male,2026-03-29,35-44
36,820,32,female,2026-03-30,35-44
38,165,95,male,2026-03-31,35-44
48,188,39,female,2026-04-01,45-54
46,372,75,female,2026-04-02,45-54
26,401,46,male,2026-04-03,25-34
36,483,42,female,2026-04-04,35-44
43,319,11,male,2026-04-05,35-44
42,265,63,male,2026-04-06,35-44
57,534,90,female,2026-04-07,55-64
60,508,8,male,2026-04-08,55-64
46,304,80,female,2026-04-09,45-54
42,104,16,female,2026-04-10,35-44
36,274,34,male,2026-04-11,35-44
21,140,83,female,2026-04-12,18-24
62,341,88,female,2026-04-13,55-64
37,494,31,male,2026-04-14,35-44
63,511,85,female,2026-04-15,55-64
18,434,40,female,2026-04-16,18-24
28,970,57,female,2026-04-17,25-34
21,497,22,male,2026-04-18,18-24
24,616,85,male,2026-04-19,18-24
45,826,15,female,2026-04-20,45-54
53,371,65,male,2026-04-21,45-54
24,129,78,female,2026-04-22,18-24
37,270,30,male,2026-04-23,35-44
52,765,31,male,2026-04-24,45-54
68,303,56,female,2026-04-25,65+
68,579,84,female,2026-04-26,65+
56,319,32,female,2026-04-27,55-64
38,634,9,male,2026-04-28,35-44
61,210,90,male,2026-04-29,55-64
18,911,58,female,2026-04-30,18-24
54,568,28,male,2026-05-01,45-54
63,795,27,male,2026-05-02,55-64
59,865,97,female,2026-05-03,55-64
20,230,48,male,2026-05-04,18-24
51,765,11,male,2026-05-05,45-54
30,737,18,male,2026-05-06,25-34
33,220,82,male,2026-05-07,25-34
51,740,22,male,2026-05-08,45-54
41,451,45,male,2026-05-09,35-44
30,284,99,female,2026-05-10,25-34
23,210,73,female,2026-05-11,18-24
56,810,23,male,2026-05-12,55-64
19,698,7,male,2026-05-13,18-24
28,290,32,female,2026-05-14,25-34
24,867,13,female,2026-05-15,18-24
24,658,84,male,2026-05-16,18-24
56,863,56,female,2026-05-17,55-64
56,189,92,female,2026-05-18,55-64
29,817,52,male,2026-05-19,25-34
68,752,68,female,2026-05-20,65+
39,418,35,female,2026-05-21,35-44
68,393,18,male,2026-05-22,65+
68,259,97,male,2026-05-23,65+
69,987,51,male,2026-05-24,65+
20,415,19,male,2026-05-25,18-24
30,604,51,male,2026-05-26,25-34
47,439,50,female,2026-05-27,45-54
27,908,9,male,2026-05-28,25-34
69,460,15,male,2026-05-29,65+
26,477,68,female,2026-05-30,25-34
23,701,23,female,2026-05-31,18-24
61,897,77,male,2026-06-01,55-64
19,896,63,male,2026-06-02,18-24
61,152,78,male,2026-06-03,55-64
33,398,18,female,2026-06-04,25-34
30,750,17,male,2026-06-05,25-34
65,824,34,male,2026-06-06,65+
30,373,83,male,2026-06-07,25-34
39,740,82,female,2026-06-08,35-44
36,779,14,male,2026-06-09,35-44
43,138,51,male,2026-06-10,35-44
31,582,65,male,2026-06-11,25-34
48,293,81,male,2026-06-12,45-54
46,660,34,female,2026-06-13,45-54
62,314,80,female,2026-06-14,55-64
59,145,29,female,2026-06-15,55-64
39,222,64,male,2026-06-16,35-44
24,789,77,female,2026-06-17,18-24
54,634,20,male,2026-06-18,45-54
66,331,59,male,2026-06-19,65+
58,610,37,male,2026-06-20,55-64
44,448,85,male,2026-06-21,35-44
48,421,16,male,2026-06-22,45-54
23,441,20,male,2026-06-23,18-24
33,934,30,male,2026-06-24,25-34
55,644,26,male,2026-06-25,55-64
55,534,27,male,2026-06-26,55-64
67,426,86,female,2026-06-27,65+
49,714,97,male,2026-06-28,45-54
50,584,96,female,2026-06-29,45-54
66,251,77,female,2026-06-30,65+
34,222,96,male,2026-07-01,25-34
50,182,97,female,2026-07-02,45-54
28,202,35,female,2026-07-03,25-34
30,189,46,female,2026-07-04,25-34
47,850,14,female,2026-07-05,45-54
18,179,57,male,2026-07-06,18-24
47,213,48,male,2026-07-07,45-54
44,255,86,male,2026-07-08,35-44
57,953,55,male,2026-07-09,55-64
40,613,21,male,2026-07-10,35-44
37,365,69,male,2026-07-11,35-44
23,215,31,female,2026-07-12,18-24
54,949,12,male,2026-07-13,45-54
37,495,59,male,2026-07-14,35-44
54,164,87,female,2026-07-15,45-54
23,347,63,male,2026-07-16,18-24
46,935,80,female,2026-07-17,45-54
30,605,62,female,2026-07-18,25-34
44,289,63,female,2026-07-19,35-44
67,154,81,male,2026-07-20,65+
37,392,18,male,2026-07-21,35-44
30,568,77,male,2026-07-22,25-34
56,226,23,male,2026-07-23,55-64
25,119,22,female,2026-07-24,25-34
34,809,47,male,2026-07-25,25-34
47,824,49,male,2026-07-26,45-54
18,737,80,male,2026-07-27,18-24
41,802,92,female,2026-07-28,35-44
33,296,75,female,2026-07-29,25-34
28,269,83,female,2026-07-30,25-34
21,308,51,male,2026-07-31,18-24
21,756,59,female,2026-08-01,18-24
34,285,55,female,2026-08-02,25-34
66,745,48,male,2026-08-03,65+
27,196,70,female,2026-08-04,25-34
38,378,83,female,2026-08-05,35-44
55,231,11,female,2026-08-06,55-64
66,492,52,male,2026-08-07,65+
35,930,49,male,2026-08-08,35-44
27,960,14,female,2026-08-09,25-34
62,269,8,male,2026-08-10,55-64
33,942,14,female,2026-08-11,25-34
56,202,39,female,2026-08-12,55-64
32,704,99,male,2026-08-13,25-34
51,195,6,male,2026-08-14,45-54
22,208,43,female,2026-08-15,18-24
34,191,83,male,2026-08-16,25-34
54,917,85,male,2026-08-17,45-54
25,683,99,female,2026-08-18,25-34
41,523,55,female,2026-08-19,35-44
45,970,18,male,2026-08-20,45-54
64,987,91,female,2026-08-21,55-64
25,158,51,female,2026-08-22,25-34
40,105,92,male,2026-08-23,35-44
52,173,42,female,2026-08-24,45-54
48,956,98,female,2026-08-25,45-54
34,240,95,male,2026-08-26,25-34
45,844,87,male,2026-08-27,45-54
65,325,91,female,2026-08-28,65+
65,927,11,male,2026-08-29,65+
68,818,79,male,2026-08-30,65+
29,627,48,male,2026-08-31,25-34
41,104,6,male,2026-09-01,35-44
32,792,78,male,2026-09-02,25-34
57,166,95,male,2026-09-03,55-64
48,939,53,female,2026-09-04,45-54
44,465,84,female,2026-09-05,35-44
52,428,22,male,2026-09-06,45-54
35,361,24,male,2026-09-07,35-44
53,651,24,female,2026-09-08,45-54
25,435,70,male,2026-09-09,25-34
63,947,32,female,2026-09-10,55-64
66,909,40,male,2026-09-11,65+
55,762,14,female,2026-09-12,55-64
22,573,18,male,2026-09-13,18-24
31,317,58,male,2026-09-14,25-34
55,930,75,male,2026-09-15,55-64
37,897,93,female,2026-09-16,35-44
61,877,15,male,2026-09-17,55-64
26,495,48,female,2026-09-18,25-34
50,993,10,male,2026-09-19,45-54
35,199,45,male,2026-09-20,35-44
23,638,20,male,2026-09-21,18-24
54,971,19,male,2026-09-22,45-54
19,355,90,female,2026-09-23,18-24
47,822,5,male,2026-09-24,45-54
23,684,40,male,2026-09-25,18-24
34,355,19,male,2026-09-26,25-34
